year,month,day,day_of_week,temperature,rain,solar,snow,wind,wind_dir,pressure,humidity,cloud
2018,7,25,wednesday,28.1,0.0,12.89,0,3.0,SE,1006.3,81,10.0
2018,7,26,thursday,26.5,0.0,14.88,0,2.9,ENE,1007.1,68,9.8
2018,7,27,friday,25.4,0.0,14.22,0,3.1,NE,1006.3,69,9.5
2018,7,28,saturday,24.0,52.0,5.51,0,4.2,NNW,1000.1,96,10.0
2018,7,29,sunday,27.9,15.0,19.45,0,3.6,SE,1002.8,85,9.0
2018,7,30,monday,28.0,0.0,13.72,0,2.6,ESE,1006.1,82,8.8
2018,7,31,tuesday,28.4,0,19.07,0,2.6,SSE,1003.6,79,4.5
2018,8,1,wednesday,30.3,0,25.64,0,2.6,SSE,1000.6,73,1.8
2018,8,2,thursday,31.2,0.0,21.90,0,2.5,SSE,1002.0,70,6.5
2018,8,3,friday,30.5,0.0,16.98,0,2.6,ESE,1003.3,74,6.0
2018,8,4,saturday,29.8,0,24.34,0,2.8,SSE,1004.3,72,7.3
2018,8,5,sunday,30.4,0,24.09,0,3.3,SSE,1001.6,77,4.5
2018,8,6,monday,28.7,0.0,18.89,0,3.0,ENE,1001.5,80,10.0
2018,8,7,tuesday,22.2,4.5,3.55,0,3.3,NNW,1005.2,93,10.0
2018,8,8,wednesday,23.6,41.0,5.41,0,3.9,NNW,997.6,95,10.0
2018,8,9,thursday,27.4,4.0,8.98,0,5.0,S,994.2,85,8.3
2018,8,10,friday,29.8,0,23.20,0,3.8,S,998.8,76,5.8
2018,8,11,saturday,28.7,0.5,17.27,0,2.3,SSE,1001.8,85,9.5
2018,8,12,sunday,27.7,0.0,9.54,0,2.2,SSE,1007.2,85,10.0
2018,8,13,monday,27.5,10.5,14.34,0,2.0,WNW,1008.8,91,10.0
2018,8,14,tuesday,28.8,0,23.67,0,3.8,S,1010.2,79,6.0
2018,8,15,wednesday,29.7,0,23.71,0,5.8,S,1010.1,72,9.5
2018,8,16,thursday,29.1,0.0,18.08,0,5.9,SSW,1003.4,72,9.0
2018,8,17,friday,26.3,0.0,25.81,0,5.5,NW,1004.9,44,4.0
2018,8,18,saturday,22.7,0,24.95,0,2.9,SSE,1010.4,57,7.8
2018,8,19,sunday,23.6,0,21.69,0,2.5,SSE,1012.0,66,7.8
2018,8,20,monday,24.7,0.0,11.02,0,1.7,NNW,1010.8,74,10.0
2018,8,21,tuesday,28.2,0.0,21.55,0,3.5,S,1009.5,80,6.0
2018,8,22,wednesday,29.7,0.0,24.87,0,4.9,S,1010.9,75,2.8
2018,8,23,thursday,29.4,0.0,18.11,0,4.8,SSE,1011.4,78,8.5
2018,8,24,friday,28.2,7.5,11.57,0,7.4,S,1007.1,84,10.0
2018,8,25,saturday,31.1,0,24.52,0,4.3,SSW,1006.7,70,5.5
2018,8,26,sunday,31.0,0,23.77,0,2.1,S,1007.5,72,3.5
2018,8,27,monday,29.4,16.0,22.60,0,2.9,SSE,1008.9,74,4.5
2018,8,28,tuesday,26.6,1.0,12.91,0,2.3,NNE,1009.4,84,10.0
2018,8,29,wednesday,26.1,0.5,5.97,0,2.4,SE,1010.1,86,10.0
2018,8,30,thursday,28.8,0.0,19.10,0,2.9,S,1008.2,77,9.3
2018,8,31,friday,28.7,1.0,21.18,0,2.5,S,1005.3,77,9.3
2018,9,1,saturday,25.9,6.0,9.61,0,2.5,ENE,1006.0,86,8.5
2018,9,2,sunday,22.1,7.5,4.26,0,2.0,N,1010.9,95,10.0
2018,9,3,monday,23.6,4.0,6.02,0,1.8,NNE,1008.8,95,10.0
2018,9,4,tuesday,26.5,14.5,4.89,0,5.9,S,1001.4,90,10.0
2018,9,5,wednesday,27.6,8.5,20.45,0,6.6,SSW,999.1,75,6.5
2018,9,6,thursday,27.6,0,16.31,0,3.7,SSW,1004.6,67,8.8
2018,9,7,friday,27.5,0.0,9.72,0,5.4,SSW,1006.3,75,9.3
2018,9,8,saturday,28.8,0.0,21.32,0,5.3,S,1008.6,74,8.3
2018,9,9,sunday,28.3,0,18.90,0,4.9,S,1011.6,76,8.3
2018,9,10,monday,25.5,38.5,13.69,0,3.6,S,1010.7,89,10.0
2018,9,11,tuesday,21.4,4.0,7.59,0,3.7,NE,1017.3,81,10.0
2018,9,12,wednesday,21.0,0.0,12.30,0,2.9,NE,1020.4,70,9.5
2018,9,13,thursday,22.4,0.0,14.51,0,2.1,NNW,1017.8,78,10.0
2018,9,14,friday,21.9,7.5,7.29,0,2.0,S,1016.3,93,10.0
2018,9,15,saturday,20.5,14.5,4.15,0,1.5,ENE,1012.9,100,10.0
2018,9,16,sunday,23.1,0.0,14.44,0,1.8,SSE,1010.2,89,8.8
2018,9,17,monday,24.7,26.0,15.91,0,2.3,SSE,1008.6,86,9.5
2018,9,18,tuesday,23.3,40.5,18.31,0,2.7,SE,1011.2,88,7.8
2018,9,19,wednesday,22.2,0.0,19.51,0,2.8,NNE,1011.7,72,7.3
2018,9,20,thursday,19.9,40.5,4.98,0,2.1,NNW,1012.5,85,10.0
2018,9,21,friday,17.7,36.0,2.27,0,3.5,NNW,1010.2,100,10.0
2018,9,22,saturday,21.5,0.0,8.47,0,1.2,NW,1007.0,95,8.5
2018,9,23,sunday,24.5,0.0,15.45,0,2.3,SE,1013.3,77,9.3
2018,9,24,monday,24.4,1.5,11.64,0,2.0,ENE,1012.3,84,9.8
2018,9,25,tuesday,21.3,14.5,3.21,0,2.5,NE,1011.9,95,10.0
2018,9,26,wednesday,17.7,38.5,3.59,0,2.5,NNW,1014.6,96,10.0
2018,9,27,thursday,15.9,19.0,3.54,0,2.9,NNW,1010.8,99,10.0
2018,9,28,friday,19.7,0,20.77,0,2.1,SSE,1014.2,77,1.5
2018,9,29,saturday,18.8,9.5,4.69,0,2.1,NNW,1016.8,95,10.0
2018,9,30,sunday,20.4,34.0,5.96,0,3.5,SSE,1002.2,97,10.0
2018,10,1,monday,26.1,18.0,19.84,0,6.1,SSW,991.5,62,6.5
2018,10,2,tuesday,22.0,0,19.29,0,2.9,SSE,1009.7,56,3.3
2018,10,3,wednesday,21.0,0,7.60,0,2.3,NNW,1017.2,77,8.3
2018,10,4,thursday,20.1,0.0,5.39,0,2.4,NNE,1023.3,78,10.0
2018,10,5,friday,18.7,9.5,2.80,0,2.4,NNW,1022.9,95,10.0
2018,10,6,saturday,23.7,0,16.08,0,3.4,S,1012.5,89,7.3
2018,10,7,sunday,27.5,0,18.48,0,4.4,SSW,1005.2,65,2.8
2018,10,8,monday,21.9,0.0,5.56,0,2.7,ENE,1011.8,73,9.0
2018,10,9,tuesday,21.9,0,12.19,0,2.2,N,1012.8,76,5.8
2018,10,10,wednesday,22.4,0.5,13.63,0,2.4,E,1012.8,79,9.0
2018,10,11,thursday,21.7,1.0,4.01,0,2.0,NNW,1010.7,93,10.0
2018,10,12,friday,20.0,0.0,5.70,0,2.8,NNW,1014.0,77,10.0
2018,10,13,saturday,17.4,0.0,3.80,0,2.6,NNE,1020.6,65,10.0
2018,10,14,sunday,16.4,7.5,8.31,0,2.3,NW,1018.0,85,9.8
2018,10,15,monday,18.1,0.5,7.00,0,1.5,NNE,1015.8,81,10.0
2018,10,16,tuesday,18.4,0.0,9.62,0,2.1,NNW,1010.9,79,9.0
2018,10,17,wednesday,18.2,1.0,10.66,0,2.5,NNE,1008.6,77,9.5
2018,10,18,thursday,17.2,0,11.56,0,2.6,N,1013.6,73,5.8
2018,10,19,friday,16.6,0.5,7.06,0,2.5,NNW,1015.2,79,9.5
2018,10,20,saturday,16.6,9.0,13.82,0,2.8,NNW,1014.9,79,7.5
2018,10,21,sunday,16.6,0,17.23,0,2.6,NNW,1017.6,56,0.0
2018,10,22,monday,16.6,0,16.46,0,2.1,NNW,1020.6,63,3.5
2018,10,23,tuesday,14.6,1.5,4.56,0,2.7,NW,1019.1,85,10.0
2018,10,24,wednesday,17.7,0.5,11.36,0,2.2,N,1012.2,81,7.8
2018,10,25,thursday,18.1,0,16.03,0,2.3,NE,1015.4,62,2.0
2018,10,26,friday,18.0,0.0,9.68,0,2.3,SSE,1017.2,68,9.5
2018,10,27,saturday,19.1,12.0,8.74,0,2.1,SSW,1005.1,90,7.3
2018,10,28,sunday,16.9,0,9.09,0,2.2,NW,1006.3,73,5.0
2018,10,29,monday,17.0,0,15.36,0,2.4,SSE,1006.1,74,0.0
2018,10,30,tuesday,17.0,0,14.88,0,2.3,NW,1007.9,62,1.5
2018,10,31,wednesday,15.0,0,11.26,0,2.6,NW,1010.8,50,8.8
2018,11,1,thursday,14.7,0,14.76,0,3.1,NW,1016.0,47,4.3
2018,11,2,friday,14.5,0,15.26,0,2.2,NNW,1021.8,58,2.0
